Compound	10776.Healthy	10850.Healthy	10543.Healthy	10246.Healthy	10156.Gastrectomy	10684.Healthy	10463.Healthy	10100.Healthy	10342.Gastrectomy	10357.Healthy	10234.Gastrectomy	10537.Healthy	10304.Healthy	10701.Healthy	10197.Healthy	10486.Healthy	10132.Healthy	10680.Gastrectomy	10036.Healthy	10487.Healthy	10166.Gastrectomy	10317.Healthy	10183.Healthy	10791.Gastrectomy	10319.Gastrectomy	10208.Healthy	10554.Gastrectomy	10465.Healthy	10784.Healthy	10341.Healthy	10114.Healthy	10558.Gastrectomy	10215.Healthy	10794.Healthy	10423.Gastrectomy	10207.Healthy	10112.Gastrectomy	10205.Gastrectomy	10354.Healthy	10741.Healthy	10632.Healthy	10107.Healthy	10696.Gastrectomy	10538.Gastrectomy	10623.Gastrectomy	10360.Gastrectomy	10258.Healthy	10673.Gastrectomy	10192.Gastrectomy	10657.Healthy	10064.Gastrectomy	10433.Gastrectomy	10025.Healthy	10037.Healthy	10257.Gastrectomy	10060.Healthy	10297.Gastrectomy	10378.Healthy	10244.Healthy	10291.Gastrectomy	10647.Healthy	10501.Gastrectomy	10250.Healthy	10519.Healthy	10540.Gastrectomy	10733.Healthy	10219.Healthy	10563.Gastrectomy	10369.Gastrectomy	10355.Gastrectomy	10058.Healthy	10176.Gastrectomy	10048.Healthy	10451.Gastrectomy	10751.Gastrectomy	10105.Healthy	10703.Gastrectomy	10599.Gastrectomy	10080.Healthy	10807.Healthy	10395.Gastrectomy	10742.Gastrectomy	10321.Gastrectomy	10302.Healthy	10810.Gastrectomy	10167.Gastrectomy	10659.Healthy	10231.Healthy	10690.Gastrectomy	10457.Gastrectomy	10698.Healthy	10782.Gastrectomy	10340.Healthy	10189.Gastrectomy	10226.Healthy	10106.Healthy
-_N1,N8-Diacetylspermidine	49.50586972	8.4488494	9.744906776	12.53491605	19	6.948383132999999	25.33838937	32.38926488	3.347404907	9.376515419	71.03654022	97.53002635	76.19956458	4.268936026	9	4.268891131	4.274717553	17	80.68888372	68.96557551	31	48.48601631	9.870712676	0	3.7	62.81250413	0	9.257348617	32.8700316	5.516899259	25.41250163	4.8	15.84997628	7.0046109360000015	80	17.97357415	0	7.348947043	29.71061286	4.82843654	8.83971676	10.68483028	13	20	84	5.3	84.7758316	0.14	30.2020046	153.3103862	10	0	34.86104555	13.83169386	165.219737	64.69726254	4.139030857	71.09131342	17.7325435	6.4	10.7168415	2.729143381	92.92826252	15.66813198	10	4.252271435	24.27160664	0	5.1	31.31176715	40.37111949	29	25.6058831	4.4	2.6	3.53225121	51	14	24.07508852	38.63339957	40	6.6	12.39881074	5.318136813	0.31	6.7	77.92364725	49.27805519	5.8	105	33.14540177	12	3.348294502	3.675947639	9.907435163	67.46051815
-_Ophthalmate	0	93.08235809	5.2629543	10.47806401	0	0	68.43880867	55.54757003	0	0	0	79.88958404	51.34524994	3.557204011	86	0	0	0	0	0	0	0	12.05401703	0	0	0	0	0	289.3217305	0	0	0	0	4.889060538	696	0	0	0	35.73762887	70.45951971	0	32.56872561	0	0	0	0	0	0	0	0	0	0	0	26.54094091	0	52.61041522	0	15.58828648	2.979779575	0	24.80245064	0	0	0	13	0	0	0	0	0	0	0	6.948081227	0	0	0	0	18	34.25404584	10.78634007	50	10	42.73840738	0	0	0	14.600772699999998	0	0	0	7.943687914	0	51.57600356	2.1662950430000003	9.66495857	0
-_Phe-Phe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	0	7.518096195	0	0	0	0	0	0	11.35127486	0	0	0	0	0	0	0	0	0	0	7.629125085	0	0	0	0	0	0	0	13.99631535	0	0	0	0	0	0	7.842803526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6	7.0780332710000025	0	0	0	0	0	0	0	0	0	0	0	33.65391795	0
-_SDMA	21.68647024	16.53367384	12.52344196	19.80416346	13	0	109.1646468	30.7992799	2.551930305	0	25.74492792	36.34774017	20.70390994	5.234838719	787	0	4.307045989	0	20.67560963	0	11	0	22.91743526	0	30	14.97563217	0	5.536090814	20.3453298	31.61074935	26.31533068	23	18.79348663	47.31368642	28	22.23961217	0	0	145.0620842	18.72220226	0	13.5119097	0	0	20	0	28.03492058	0	0	39.83347259	26	0	34.83186131	30.6026896	0	36.98484525	0	18.60107414	7.440366702	13	27.98852211	0	129.8721125	0	19	10.55992649	25.48099733	0	0	29.00906285	30.04292654	0	39.49699545	0	0	3.041098775	0	78	21.43213665	15.92014014	0	0	18.97373287	0	32	0	21.99363389	14.72548669	0	28	20.33729435	35	14.75547578	0	7.584125059	14.11749733
-_Xanthopterin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1381.807843	0	0	0	15.94997073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-_gamma-Glu-2AB	21.45140579	0	0	14.05017886	0	0	0	0	0	8.075111888	0	46.39922794	0	35.35903283	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	14.43397677	0	14	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	36.87561820000001	38.18387138	0	0	12.38768585	0	0	8.270427012999999	0	0	0	0	0	0	28	11	0	0	0	0	0	0	32.93587411	0	0	74.56093547	6.799302278	0	0	5.254038213	7.434504447999999	0	20	0	88.76786276	0	0	0	0	18.20927462	0	0	0
-_n-Butyl a-Picolinate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00002_ATP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.299638560000002	0	0	0	0	0	35.80927567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00003_NAD+	75.51805529	149.4946721	473.6051387	449.657462	0	402.789023	367.1213946	517.0860993	694.8649319	0	0	280.6012541	0	364.0050458	0	478.8621832	0	0	351.0698711	0	0	0	340.6694706	552	0	482.156976	0	510.9808095	386.5660079	0	472.9881098999998	0	531.593324	293.6477934	0	488.6720592	0	66.65677547	0	70.21709149	264.7703757	166.2281819	0	0	804	0	377.1580031	0	676.0575026	658.2344022999997	0	0	794.8929395	1204.83242	322.8282614	320.2428822	0	447.5793102	505.8953035	0	507.0240649	277.10659710000004	76.98564256	552.1010507	0	448.797404	0	0	0	525.3371741999998	365.9533909	0	475.8053535	0	0	379.5622074	409	0	90.98245608	146.5151492	0	0	161.50012019999997	499.5137623	695	0	418.2902413	0	0	0	617.1910671	617	292.5095389	202.8274264	745.410904	306.0859507
C00004_NADH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00005_NADPH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00006_NADP+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168.74634369999995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117.4685558	0	0	0	0	0	0	0	0	0	0	0	0	103.3972679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74.02827634	0	0	0	0	0	0	0	0
C00008_ADP	0	26.04086857	25.66611648	0	0	0	77.46879411	34.58782359	0	0	0	30.91493221	0	44.46210872	0	0	0	0	0	0	0	75.43955863	24.43878868	0	0	85.95186186	0	19.38927206	109.2676096	0	0	0	0	22.34060686	0	0	0	0	0	26.94818328	30.08984398	0	0	0	0	0	0	0	38.48626198	57.67803061	0	0	40.38380148	152.1871879	0	0	0	29.06107837	24.53459024	0	40.75764579	0	0	25.54253262	0	56.0936259	125.5091613	0	0	0	0	0	0	0	0	0	0	0	0	36.47811843	0	0	112.5540643	0	0	0	49.23107372	50.95997381	0	0	34.08901448	0	38.8611845	0	27.62593354	0
C00010_CoA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00015_UDP	0	24.86470879	18.12750918	0	0	0	36.30160021	0	0	0	0	0	0	33.2904712	0	0	0	0	0	0	0	26.7048034	31.3008414	0	0	102.3143864	0	0	56.14470152	0	0	0	0	16.23266395	0	0	0	0	0	0	0	0	0	0	41	0	0	0	34.50411882	0	0	0	42.96220466	103.1359756	0	0	0	24.09236642	0	0	0	0	21.36612614	62.11342208	0	30.85357748	71.59137172	0	0	0	0	0	0	0	0	0	0	0	0	31.24966102	0	0	0	29.94192698	0	0	0	0	0	0	28.73831422	0	0	0	0	0
C00016_FAD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.05707578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.61027949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.97052568	0	0	0	0	0	0	0	0
C00019_SAM+	14.88837919	17.08423663	36.34112068	59.35029518	0	32.49291914	40.22849354	54.97568269	47.52011496	20.80100425	31.63714343	62.36821147	55.42053132	33.65778818	0	41.53502892	5.424222355	0	28.23351378	12.56723162	0	124.099251	24.60600772	15	0	55.17040582	7.4	28.55127701	177.2281299	41.707958700000006	52.25462111	0	11.82994544	29.35523306	0	49.36713738	0	5.730376589	25.76614726	13.84731942	18.03340793	11.71896642	0	0	51	0	62.00268608	8.1	87.98517579	37.90475553	0	0	84.62984126	56.43292262	32.21787354	34.12034273	9.376807704	90.13430897	75.79416686	10	50.38993667	23.87648152	52.63525453	48.04718735	0	26.64091674	27.15245813	0	0	85.31438837	30.07807729	0	28.99595752	0	0	15.20388809	27	0	7.106866424	3.952934073	0	9.9	12.09201496	53.93439681	22	0	31.53981489	99.2173391	0	0	47.19171432	0	41.45296742	12.75413744	54.53603878	25.38938451
C00020_AMP	124.824881	77.36186455	76.37864644	0	0	119.4757898	131.5392396	0	64.22660063	99.48475343	64.87799382	57.76186062	42.18298628	74.81750599	0	36.80169653	0	0	81.81852668	0	0	147.7850914	38.53598005	86	0	132.79412390000002	0	66.02803116	72.60386412	85.07654839	74.53831486	0	181.0045878	78.94078513	0	117.7180027	0	23.39955524	119.0719846	0	111.5603089	0	0	0	354	0	22.67908131	0	152.3575102	117.6694229	0	0	91.70595068	191.6854977	58.10432779	0	35.74441378	111.9372211	70.48569171	0	79.53916179	41.63945404	127.2209084	78.52116847	0	165.63046409999995	105.9904229	0	0	138.4778385	42.82194269	0	105.0012555	0	0	91.79526873	0	0	0	60.06935743	0	0	600.2689257000002	109.2401047	150	0	139.80396090000002	127.1761791	0	0	164.7562739	194	122.5012522	52.06500294	99.22920303	80.23038293
C00021_SAH	0	0	0	2.835855709	0	0	0	0	0	0	0	4.263188904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.612832995	0	0	0	0	0	0	0	0	0	0	0	4.411906609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.77223326	0	0	0	0	0	0	0	0	0	15.07400336	0	0	0
C00022_Pyruvate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00024_Acetyl CoA	0	11.4211438	17.93211766	0	0	0	97.71053807	86.10752007	0	0	0	72.8555317	46.18541977	17.70529671	0	0	0	0	0	0	0	120.1401428	41.73088775	0	0	105.0352427	0	29.62104163	157.534861	0	16.78015431	0	42.72624791	0	0	109.094709	0	0	0	0	15.44070027	0	0	0	0	0	20.72227497	0	95.50933786	79.15714855	0	0	90.17670459	78.59885890000002	0	0	0	82.39138444	0	0	54.85035736	0	24.54433609	78.39199688	0	22.62194924	166.76332230000003	0	0	0	0	0	36.80619315	0	0	0	0	0	0	9.767971692	0	0	0	46.96865761	0	0	71.98226789	99.66728908	0	0	44.90822661	15	0	0	89.72504856	0
C00025_Glu	16485.46148	10564.65821	24264.61907	31953.97516	24928	24779.37288000001	16283.73573	9898.944649	31664.7017	8596.394016	13762.50489	7883.941773	6479.537186	25678.7091	45847	23441.50829	4405.356601	31043	9455.154657	3389.64389	33187	9845.530024	13723.14679	21152	38371	16564.327019999993	5647	21966.76988	11192.74498	18758.82141	15557.39254	26370	18863.27025	20409.53561	14265	11605.25363	19902	9672.954124	18339.23118	15558.73174	14687.97359	8768.596903	25105	29366	15931	27773	10485.95897	15630	26453.37488	14392.19611	34821	12550	13233.34817	27718.71238	17925.31344	7851.344558	16816.68004	10192.54939	22791.75553	38887	13656.90167	14440.32611	22827.82548	19027.73904	53398	17906.95688	9367.078591	20427	41949	14510.25041	13610.89734	19015	11023.45314	25459	2721	21030.36373	8408	54399	15858.10104	15127.60827	16842	21819	16560.96094	11344.79248	11827	9561	5594.191457	23804.25984	15913	41864	15039.79236	16447	13509.7344	18372.80571	25597.37926	8938.775428
C00026_2-Oxoglutarate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00029_UDP-glucose	31.29186117	32.985935999999995	0	0	0	0	50.04136778	64.51015945	25.84914938	0	0	62.07761162	80.09830247	0	0	0	0	0	0	0	0	0	23.27873156	0	0	51.22047783	0	0	50.74763982	0	56.84466685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.97757499	0	0	0	0	0	0	48.47009056	0	79.93545804	0	21.30320561	0	0	0	0	0	0	0	29.82114514	52.06288051	0	0	0	0	0	0	0	0	0	0	0	101.3507734	22.9555184	0	0	32.55342884	45.44842126	0	0	126.1901629	93.90715566	0	0	28.94532541	0	0	0	0	0
C00035_GDP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C00037_Gly	29787.22431	9873.640769	7615.268532999998	3021.129674	26728	2425.846375	3459.595818	2204.456686	1976.131647	3460.841387	1135.333835	4116.415322	17182.63089	769.5731516	51030	753.4237126	9946.714511	21370	538.9644910000002	485.09986460000016	18727	1514.977615	905.9482645	1248	67855	1456.847653	3506	1929.90999	11165.85213	1853.614074	3167.897434	11700	872.3790431	1019.298283	28067	1506.029608	12899	726.308771	29643.26958	40122.60638000001	1066.299777	13350.39069	17907	14536	2913	19078	1879.793073	8880	1144.107145	3178.324001	24721	4609	12647.58746	6493.109733	782.543766	19872.10665	476.5717895	1244.502301	3477.259175	30861	2963.322788	558.4641958	16455.15454	1571.63464	75191	880.3355347999999	13483.159	7893	31825	3552.605325	6730.011221	17302	1031.718124	24023	9001	958.6387704	849	106696	37735.58689	1233.376975	13624	49680	29083.58382	1266.5980539999996	1364	15150	9678.795411	21027.939980000006	9492	45204	2367.209013	1288	1989.664944	630.1424634	1569.5686970000006	695.6067009
C00041_Ala	22679.75291	6449.420147	5255.2774100000015	3338.712105	45131	2820.352939	3170.578529	13464.69205	4244.251152000002	2191.855289	1202.662761	2643.502083	12721.06571	2102.836438	42718	1559.141945	6681.097084	32236	12733.53519	1197.913076	42371	2272.887267	16161.415469999998	1675	61507	4400.695491	4194	1593.125572	17974.23694	2060.678107	3921.349278	34636	1967.540919	1365.341739	19170	3277.83184	26895	1601.618188	24252.48181	21923.78736	1330.566603	3654.881094	29484	29100	5284	50533	4343.964159	18320	2447.588593	6227.572407	38961	6596	4712.878007	5494.831715	1929.048881	9872.654217	1069.638053	2409.874967	3523.861752000001	47378	6861.955367000001	1091.02931	4610.471782	1834.913053	70386	1471.95478	2998.90866	19442	61735	3421.395692	12100.53127	20855	1310.612598	31797	4488	1043.342694	1705	53158	13589.94811	2183.056369000001	21356	30184	19000.01751	1589.900063	2936	11665	11307.4931	13148.13276	16917	58388	4517.324581	2177	3687.710432	1147.307399	2943.549261	887.1726864
C00042_Succinate	24582.84561	54324.27134	8868.482334999999	3865.792171	186519	1597.7144560000006	10410.88073	883.4182427999997	1883.011909	3421.037931000001	1748.202923	1728.828138	320.0424551000001	1748.425112	144164	1545.157027	4185.329902	18520	1708.185571	556.6155461	39404	978.473922	7652.495965000001	3713	16547	2914.504583	22027	2171.94895	44784.46631	3093.713014	66384.56901	44539	809.5400396000001	2018.89574	116425	1965.403016	17721	628.6659695000002	44126.1048	23136.93601	606.2317857	65508.14455	16605	18688	3015	41079	1171.458414	5294	731.4103237	895.6880385	52973	6397	53982.28467000001	2708.5096550000007	614.7621458	94496.01254	678.4142267999998	712.6903434	1278.502578	13303	6080.885216	1088.626107	2096.612073	2199.395268	110721	84783.56427	34632.90871	8296	26634	8642.383744	5509.869101	23158	48792.70377	12614	9725	1163.52459	430	106690	18895.37925	11996.20593	10244	51409	93817.49192	1763.396227	2509	12654	928.6943276	3865.168219	11004	43136	1159.1468619999996	3561	6232.291944	591.6875242000001	1135.483642	843.0698766
C00043_UDP-N-acetylglucosamine	94.85460985	57.09567588	55.43808743	87.85790457	0	72.81876849	120.5754281	174.7136217	86.54133916	0	0	97.94979366	77.8139949	0	0	57.90237376	0	0	82.33423362	0	0	40.78732612	64.7985169	42	0	94.24518723	0	0	125.8044487	49.86009132	172.3951402	0	0	0	0	107.8519168	0	35.88346420000001	0	52.11733371	60.93057148	77.24464954	0	0	103	0	63.84148101	0	103.7934732	136.63671019999998	0	0	166.44467790000004	95.36748321	48.40955715	151.5090292	0	77.76445289	46.33208656	0	0	42.35449689	74.31781251	164.0530915	0	122.4963966	140.7138301	0	0	68.10933071	80.18907643	0	93.55345245	0	0	51.270464200000006	39	0	66.65339947	39.52593447	0	0	67.79734814	106.6317248	50	0	128.8249645	202.5885686	0	0	122.0559371	0	56.69539859	28.3561759	81.15152285	47.67458597
C00044_GTP	0	0	0	0	0	0	0	3885.887831000002	0	0	0	0	0	0	0	0	0	0	4040.802063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5358.39368	12733.93777	0	2831.704977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4672.368297	0	0	8880.819071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
