Compound	HMDB	KEGG	High.Confidence.Annotation	Compound.Name	Retention.Time	m.z	Cluster..if.DA.	Putative.Chemical.Class	Adduct
HILIC-neg_Cluster_0079: 4-hydroxybenzaldehyde	HMDB0011718	C00633	TRUE	4-hydroxybenzaldehyde	2.527884	121.029504	NA	Hydroxybenzaldehydes	[M-H]-
C18-neg_Cluster_0004: 4-hydroxystyrene	HMDB0004072	C05627	TRUE	4-hydroxystyrene	2.554039	119.048864	NA	Styrenes	[M-H]-
HILIC-neg_Cluster_0084: 4-methylcatechol	HMDB0000873	C06730	TRUE	4-methylcatechol	1.366308	123.045022	1	Phenols	[M-H]-
HILIC-neg_Cluster_0133: 4-nitrophenol	HMDB0001232	C00870	TRUE	4-nitrophenol	4.081432	138.019547	NA	Nitrophenols	[M-H]-
HILIC-neg_Cluster_0335: 4-pyridoxate	HMDB0000017	C00847	TRUE	4-pyridoxate	3.840545	182.045892	3	Pyridines and derivatives	[M-H]-
HILIC-pos_Cluster_0422: 5-acetylamino-6-amino-3-methyluracil	HMDB0004400	C16366	TRUE	5-acetylamino-6-amino-3-methyluracil	5.216495	199.081977	2	Organonitrogen compounds	[M+H]+
HILIC-pos_Cluster_1370: 5alpha-cholestanol	HMDB0000908	NA	TRUE	5alpha-cholestanol	1.699779	371.365793	29	NA	[M-H2O+H]+
C8-pos_Cluster_0100: 7-hexadecenoic acid methyl ester	HMDB0061858	NA	TRUE	7-hexadecenoic acid methyl ester	4.059965	269.247513	NA	Fatty acid methyl esters	[M+H]+
C18-neg_Cluster_0901: 7-ketodeoxycholate	HMDB0000391	C04643	FALSE	7-ketodeoxycholate	8.598227	405.264441	22	NA	[M-H]-
HILIC-pos_Cluster_0246: 7-methylguanine	HMDB0000897	C02242	TRUE	7-methylguanine	5.691902	166.071809	NA	Imidazopyrimidines	[M+H]+
HILIC-pos_Cluster_0914: 8-hydroxy-deoxyguanosine	HMDB0003333	NA	TRUE	8-hydroxy-deoxyguanosine	5.249252	284.098026	NA	Purine nucleosides	[M+H]+
C18-neg_Cluster_0394: 9.10-diHOME	HMDB0004704	NA	TRUE	9.10-diHOME	10.358848	313.238464	NA	Long-chain fatty acids	[M-H]-
HILIC-neg_Cluster_0232: acesulfame	HMDB0033585	NA	FALSE	acesulfame	3.482412	161.986314	NA	Organic sulfuric acids and derivatives	[M-H]-
C18-neg_Cluster_0025: acesulfame	HMDB0033585	NA	FALSE	acesulfame	1.024814	161.985411	NA	Organic sulfuric acids and derivatives	[M-H]-
HILIC-neg_Cluster_0103: acetylalanine	HMDB0000766	C01073	FALSE	acetylalanine	3.91996	130.05083	NA	N-acyl-L-alpha-amino acids	[M-H]-
HILIC-pos_Cluster_0152: acetylcholine	HMDB0000895	C01996	TRUE	acetylcholine	7.671379	146.116992	NA	Quaternary ammonium salts	[M+H]+
C18-neg_Cluster_0090: acetytyrosine	HMDB0000866	C01657	TRUE	acetytyrosine	1.126767	222.076542	NA	Amino acids, peptides, and analogues	[M+H]+
HILIC-neg_Cluster_0120: adenine	HMDB0000034	C00147	TRUE	adenine	2.271317	134.04717	1	Purines and purine derivatives	[M-H]-
HILIC-pos_Cluster_0447: ADMA	HMDB0001539	C03626	TRUE	ADMA	9.686666	203.149698	2	Arginine and derivatives	[M+H]+
HILIC-pos_Cluster_0446: ADMA/SDMA*	NA	NA	FALSE	ADMA/SDMA*	9.579272	203.149549	NA	Arginine and derivatives	[M+H]+
C18-neg_Cluster_0506: adrenic acid	HMDB0002226	C16527	TRUE	adrenic acid	15.061144	331.264136	11	Very long-chain fatty acids	[M-H]-
HILIC-neg_Cluster_0015: alanine	HMDB0000161	C01401	FALSE	alanine	3.30043	88.040286	NA	Amino acids, peptides, and analogues	[M-H]-
HILIC-pos_Cluster_0008: alanine	HMDB0000161	C01401	FALSE	alanine	7.798448	90.055267	NA	Amino acids, peptides, and analogues	[M+H]+
HILIC-neg_Cluster_0034: alpha-hydroxybutyrate	HMDB0000008	C05984	TRUE	alpha-hydroxybutyrate	3.866533	103.039899	1	NA	[M-H]-
HILIC-neg_Cluster_0159: alpha-ketoglutarate	HMDB0000208	C00026	TRUE	alpha-ketoglutarate	7.756236	145.014087	NA	Gamma-keto acids and derivatives	[M-H]-
HILIC-neg_Cluster_0062: alpha-ketoisovalerate	HMDB0000019	C00141	TRUE	alpha-ketoisovalerate	3.52175	115.039921	NA	Keto acids and derivatives	[M-H]-
C18-neg_Cluster_0244: alpha-linolenic acid	HMDB0001388	C06427	TRUE	alpha-linolenic acid	13.755078	277.217171	1	Lineolic acids and derivatives	[M-H]-
C18-neg_Cluster_0927: alpha-muricholate	HMDB0000506	C17647	TRUE	alpha-muricholate	8.117757	407.279768	NA	NA	[M-H]-
HILIC-pos_Cluster_0667: anserine	HMDB0000194	C01262	TRUE	anserine	10.469162	241.128533	NA	Peptidomimetics	[M+H]+
C18-neg_Cluster_1620: arachidonic acid	HMDB0001043	C00219	FALSE	arachidonic acid	14.313547	507.194155	2	NA	[Unknown]-
C18-neg_Cluster_1941: arachidonic acid	HMDB0001043	C00219	FALSE	arachidonic acid	14.312981	575.182128	2	NA	[Unknown]-
C18-neg_Cluster_0709: arachidonic acid	HMDB0001043	C00219	FALSE	arachidonic acid	14.313255	371.220378	13	NA	[Unknown]-
C18-neg_Cluster_0354: arachidonic acid	HMDB0001043	C00219	FALSE	arachidonic acid	14.312958	303.232901	13	NA	[M-H]-
C18-neg_Cluster_1131: arachidonic acid	HMDB0001043	C00219	FALSE	arachidonic acid	14.313544	439.207761	13	NA	[Unknown]-
HILIC-neg_Cluster_0290: arginine	HMDB0000517	C00062	FALSE	arginine	4.262824	173.104141	NA	Amino acids, peptides, and analogues	[M-H]-
HILIC-pos_Cluster_0295: arginine	HMDB0000517	C00062	FALSE	arginine	9.13588	175.118517	2	Amino acids, peptides, and analogues	[M+H]+
HILIC-neg_Cluster_0299: ascorbate	HMDB0000044	C00072	TRUE	ascorbate	9.502579	175.024517	NA	Furanones	[M-H]-
HILIC-pos_Cluster_0099: asparagine	HMDB0000168	C00152	FALSE	asparagine	7.9256	133.06039	NA	Asparagine and derivatives	[M+H]+
HILIC-neg_Cluster_0112: asparagine	HMDB0000168	C00152	FALSE	asparagine	3.96206	131.046065	NA	Asparagine and derivatives	[M-H]-
HILIC-neg_Cluster_0117: aspartate	HMDB0000191	C00049	TRUE	aspartate	5.346335	132.030197	NA	Amino acids, peptides, and analogues	[M-H]-
HILIC-pos_Cluster_0817: atenolol	HMDB0001924	C13235	TRUE	atenolol	6.74024	267.169068	NA	Phenylacetamides	[M+H]+
HILIC-neg_Cluster_0365: azelaic acid	HMDB0000784	C08261	FALSE	azelaic acid	7.129824	187.097181	6	Fatty acids and conjugates	[M-H]-
C18-neg_Cluster_0045: azelate	HMDB0000784	C08261	FALSE	azelate	4.477811	187.096512	6	Fatty acids and conjugates	[M-H]-
HILIC-pos_Cluster_0009: beta-alanine	HMDB0000056	C00099	TRUE	beta-alanine	7.961105	90.055235	NA	Amino acids, peptides, and analogues	[M+H]+
C8-pos_Cluster_0515: beta-sitosterol	HMDB0000852	C01753	TRUE	beta-sitosterol	7.722481	397.383243	NA	NA	[M-H2O+H]+
HILIC-pos_Cluster_0048: betaine	HMDB0000043	C00719	TRUE	betaine	8.945123	118.085992	NA	Amino acids, peptides, and analogues	[M+H]+
HILIC-pos_Cluster_2052: bilirubin	HMDB0000054	C00486	TRUE	bilirubin	1.642753	585.267624	NA	NA	[M+H]+
HILIC-neg_Cluster_0013: butyrate / isobutytare*	NA	NA	FALSE	butyrate / isobutytare*	3.914183	87.045064	NA	Straight chain fatty acids	[M-H]-
HILIC-pos_Cluster_0151: butyrobetaine	HMDB0001161	C01181	TRUE	butyrobetaine	8.675049	146.116967	NA	Fatty acids and conjugates	[M+H]+
HILIC-pos_Cluster_1374: C14 carnitine	HMDB0005066	NA	TRUE	C14 carnitine	6.681222	372.309038	1	Acyl carnitines	[M+H]+
C8-pos_Cluster_1303: C14:0 CE	NA	NA	TRUE	C14:0 CE	11.552452	619.542184	1	Cholesteryl esters	[M+Na]+
C8-pos_Cluster_1521: C14:0 SM	NA	NA	TRUE	C14:0 SM	7.525761	675.54142	NA	Sphingolipids	[M+H]+
HILIC-pos_Cluster_1486: C16 carnitine	HMDB0000222	C02990	TRUE	C16 carnitine	6.561967	400.34031	3	Acyl carnitines	[M+H]+
C8-pos_Cluster_1395: C16:0 CE	NA	NA	TRUE	C16:0 CE	11.973232	647.573818	9	Cholesteryl esters	[M+Na]+
C8-pos_Cluster_1375: C16:0 CE	NA	NA	TRUE	C16:0 CE	11.968649	642.618861	NA	Cholesteryl esters	[M+NH4]+
C8-pos_Cluster_1004: C16:0 ceramide (d18:1)	NA	NA	TRUE	C16:0 ceramide (d18:1)	8.197254	538.519883	6	Sphingolipids	[M+H]+
C8-pos_Cluster_0878: C16:0 LPC	NA	NA	TRUE	C16:0 LPC	4.767281	496.339905	14	1-acyl-sn-glycero-3-phosphocholines	[M+H]+
HILIC-pos_Cluster_1684: C16:0 LPE	NA	NA	TRUE	C16:0 LPE	6.263367	454.290967	NA	1-acyl-sn-glycero-3-phosphoethanolamines	[M+H]+
C8-pos_Cluster_1657: C16:0 SM	NA	NA	TRUE	C16:0 SM	8.053829	703.574815	9	Sphingolipids	[M+H]+
HILIC-pos_Cluster_2293: C16:0 SM	NA	NA	TRUE	C16:0 SM	7.126087	703.571469	9	Sphingolipids	[M+H]+
C8-pos_Cluster_1369: C16:1 CE	NA	NA	TRUE	C16:1 CE	11.625544	640.602783	2	Cholesteryl esters	[M+NH4]+
C8-pos_Cluster_1386: C16:1 CE*	NA	NA	FALSE	C16:1 CE*	11.627639	645.557757	2	Cholesteryl esters	[M+Na]+
HILIC-pos_Cluster_1773: C16:1 LPC plasmalogen*	NA	NA	FALSE	C16:1 LPC plasmalogen*	7.530619	480.342826	14	1-(1Z-alkenyl)-glycero-3-phosphocholines	[M+H]+
C8-pos_Cluster_0354: C16:1 MAG	NA	NA	TRUE	C16:1 MAG	4.959597	351.250395	NA	1-monoacylglycerols	[M+Na]+
C8-pos_Cluster_0313: C16:1 MAG*	NA	NA	FALSE	C16:1 MAG*	4.840698	339.250073	NA	1-monoacylglycerols	NA
C8-pos_Cluster_1647: C16:1 SM	NA	NA	TRUE	C16:1 SM	7.695674	701.556757	NA	NA	[M+Na]+
HILIC-pos_Cluster_1593: C18 carnitine	NA	NA	TRUE	C18 carnitine	6.455731	428.37169	1	Acyl carnitines	[M+H]+
C8-pos_Cluster_1525: C18:0 CE	NA	NA	TRUE	C18:0 CE	12.387281	675.604039	1	Cholesteryl esters	[M+Na]+
C8-pos_Cluster_1502: C18:0 CE	NA	NA	TRUE	C18:0 CE	12.372106	670.650143	NA	Cholesteryl esters	[M+NH4]+
HILIC-pos_Cluster_1899: C18:0 LPC	NA	NA	TRUE	C18:0 LPC	7.570429	524.369027	NA	1-acyl-sn-glycero-3-phosphocholines	[M+H]+
C8-pos_Cluster_0949: C18:0 LPC	NA	NA	TRUE	C18:0 LPC	5.303413	524.371152	9	1-acyl-sn-glycero-3-phosphocholines	[M+H]+
C8-pos_Cluster_0467: C18:0 MAG	NA	NA	TRUE	C18:0 MAG	5.72305	381.296567	NA	1-monoacylglycerols	[M+Na]+
C8-pos_Cluster_0446: C18:0 MAG	NA	NA	TRUE	C18:0 MAG	5.71969	376.340419	NA	1-monoacylglycerols	[M+NH4]+
C8-pos_Cluster_1758: C18:0 SM	NA	NA	TRUE	C18:0 SM	8.557205	731.606607	1	Sphingolipids	[M+H]+
C8-pos_Cluster_0410: C18:0e MAG	NA	NA	TRUE	C18:0e MAG	6.190883	367.318449	10	Monoalkylglycerols	[M+Na]+
C8-pos_Cluster_0338: C18:0e MAG	NA	NA	TRUE	C18:0e MAG	6.184319	345.336485	10	Monoalkylglycerols	[M+H]+
HILIC-pos_Cluster_1586: C18:1 carnitine	NA	NA	TRUE	C18:1 carnitine	6.477161	426.355876	3	Fatty acid esters	[M+H]+
C8-pos_Cluster_1490: C18:1 CE	NA	NA	TRUE	C18:1 CE	12.043032	668.634054	NA	NA	[M+NH4]+
C8-pos_Cluster_1514: C18:1 CE  	NA	NA	TRUE	C18:1 CE	12.049957	673.58944	9	NA	[M+Na]+
C8-pos_Cluster_0945: C18:1 LPC	NA	NA	TRUE	C18:1 LPC	4.938243	522.355717	NA	1-acyl-sn-glycero-3-phosphocholines	[M+H]+
HILIC-pos_Cluster_1855: C18:1 LPC plasmalogen*	NA	NA	FALSE	C18:1 LPC plasmalogen*	7.738521	508.374035	22	1-(1Z-alkenyl)-glycero-3-phosphocholines	[M+H]+
HILIC-pos_Cluster_1893: C18:1 LPC*	NA	NA	FALSE	C18:1 LPC*	7.615695	522.3534	NA	1-acyl-sn-glycero-3-phosphocholines	[M+H]+
HILIC-pos_Cluster_1580: C18:2 carnitine	HMDB0006469	NA	TRUE	C18:2 carnitine	6.524092	424.340387	3	Acyl carnitines	[M+H]+
C8-pos_Cluster_1478: C18:2 CE	NA	NA	TRUE	C18:2 CE	11.716127	666.618408	9	Cholesteryl esters	[M+NH4]+
C8-pos_Cluster_1504: C18:2 CE*	NA	NA	FALSE	C18:2 CE*	11.726673	671.573482	9	Cholesteryl esters	[M+Na]+
C8-pos_Cluster_0939: C18:2 LPC	NA	NA	TRUE	C18:2 LPC	4.600409	520.340406	NA	1-acyl-sn-glycero-3-phosphocholines	[M+H]+
C8-pos_Cluster_1468: C18:3 CE	NA	NA	TRUE	C18:3 CE	11.45202	664.602057	NA	Cholesteryl esters	[M+NH4]+
C8-pos_Cluster_1494: C18:3 CE*	NA	NA	FALSE	C18:3 CE*	11.453383	669.558808	9	Cholesteryl esters	[M+Na]+
C8-pos_Cluster_0936: C18:3 LPC	NA	NA	TRUE	C18:3 LPC	4.766593	518.321945	14	1-acyl-sn-glycero-3-phosphocholines	[M+H]+
HILIC-pos_Cluster_0453: C2 carnitine	HMDB0000201	C02571	TRUE	C2 carnitine	8.585624	204.12232	NA	NA	[M+H]+
HILIC-pos_Cluster_1691: C20 carnitine	NA	NA	TRUE	C20 carnitine	6.358002	456.402781	NA	Acyl carnitines	[M+H]+
C8-pos_Cluster_0915: C20:0 LPE	NA	NA	TRUE	C20:0 LPE	5.028875	510.356003	NA	1-acyl-sn-glycero-3-phosphoethanolamines	[M+H]+
C8-pos_Cluster_1610: C20:3 CE	NA	NA	TRUE	C20:3 CE	11.82771	692.632743	NA	Cholesteryl esters	[M+NH4]+
C8-pos_Cluster_1635: C20:3 CE*	NA	NA	FALSE	C20:3 CE*	11.837011	697.588338	NA	Cholesteryl esters	[M+Na]+
HILIC-pos_Cluster_1673: C20:4 carnitine	NA	NA	TRUE	C20:4 carnitine	6.219689	448.340197	18	NA	[M+Na]+
C8-pos_Cluster_1623: C20:4 CE	NA	NA	TRUE	C20:4 CE	11.573799	695.573841	9	Cholesteryl esters	[M+Na]+
C8-pos_Cluster_1597: C20:4 CE	NA	NA	TRUE	C20:4 CE	11.569904	690.618702	9	Cholesteryl esters	[M+NH4]+
C8-pos_Cluster_1614: C20:5 CE	NA	NA	TRUE	C20:5 CE	11.316771	693.560861	1	Cholesteryl esters	[M+Na]+
C8-pos_Cluster_1012: C20:5 LPC	NA	NA	TRUE	C20:5 LPC	4.607839	542.321749	NA	1-acyl-sn-glycero-3-phosphocholines	[M+Na]+
C8-pos_Cluster_1888: C22:0 SM	NA	NA	TRUE	C22:0 SM	9.45803	787.669656	9	Sphingolipids	[M+H]+
C8-pos_Cluster_0678: C22:1 MAG	NA	NA	TRUE	C22:1 MAG	6.778841	435.344659	NA	1-monoacylglycerols	[M+Na]+
C8-pos_Cluster_1884: C22:1 SM	NA	NA	TRUE	C22:1 SM	9.157656	785.653145	NA	Sphingolipids	[M+H]+
C8-pos_Cluster_1722: C22:4 CE	NA	NA	TRUE	C22:4 CE	11.949042	718.649241	1	Cholesteryl esters	[M+NH4]+
C8-pos_Cluster_1742: C22:4 CE*	NA	NA	FALSE	C22:4 CE*	11.950582	723.605699	1	Cholesteryl esters	[M+Na]+
C8-pos_Cluster_1712: C22:5 CE	NA	NA	TRUE	C22:5 CE	11.672278	716.636644	1	Cholesteryl esters	[M+Na]+
C8-pos_Cluster_1736: C22:5 CE*	NA	NA	FALSE	C22:5 CE*	11.681478	721.593876	1	Cholesteryl esters	[M+Na]+
C8-pos_Cluster_1726: C22:6 CE	NA	NA	TRUE	C22:6 CE	11.439325	719.574628	NA	Cholesteryl esters	[M+Na]+
C8-pos_Cluster_1970: C24:0 SM	NA	NA	TRUE	C24:0 SM	9.8734	815.697986	9	Sphingolipids	[M+H]+
C8-pos_Cluster_0868: C24:0 TAG	NA	NA	TRUE	C24:0 TAG	6.457357	493.359345	NA	Triacylglycerols	[M+Na]+
C8-pos_Cluster_2019: C24:1 SM 	NA	NA	TRUE	C24:1 SM	9.493713	835.666318	1	Sphingolipids	[M+Na]+
C8-pos_Cluster_1965: C24:1 SM	NA	NA	TRUE	C24:1 SM	9.494136	813.684583	9	Sphingolipids	[M+H]+
HILIC-pos_Cluster_0790: C3-DC-CH3 carnitine	NA	NA	TRUE	C3-DC-CH3 carnitine	8.496401	262.127486	1	Acyl carnitines	[M+H]+
C8-pos_Cluster_1070: C30:0 DAG	NA	NA	TRUE	C30:0 DAG	8.556091	563.467383	NA	1,2-diacylglycerols	[M+Na]+
C8-pos_Cluster_1186: C32:0 DAG	NA	NA	TRUE	C32:0 DAG	9.032395	591.495675	NA	1,2-diacylglycerols	[M+Na]+
C8-pos_Cluster_1761: C32:1 PC	NA	NA	TRUE	C32:1 PC	8.182908	732.555334	NA	Phosphatidylcholines	[M+H]+
C8-pos_Cluster_1146: C32:2 DAG*	NA	NA	FALSE	C32:2 DAG*	8.383768	582.512028	NA	1,2-diacylglycerols	[M+NH4]+
C8-pos_Cluster_1302: C34:0 DAG*	NA	NA	FALSE	C34:0 DAG*	9.451524	619.526096	NA	1,2-diacylglycerols	[M+Na]+
C8-pos_Cluster_1727: C34:0 PE	NA	NA	TRUE	C34:0 PE	8.234821	720.552435	NA	Phosphatidylethanolamines	[M+H]+
C8-pos_Cluster_1277: C34:1 DAG*	NA	NA	FALSE	C34:1 DAG*	9.166925	612.556705	NA	1,2-diacylglycerols	[M+NH4]+
C8-pos_Cluster_1821: C34:1 PC	NA	NA	TRUE	C34:1 PC	8.644594	760.585077	NA	Phosphatidylcholines	[M+H]+
C8-pos_Cluster_1800: C34:1 PC plasmalogen-A	NA	NA	TRUE	C34:1 PC plasmalogen-A	8.937513	746.606622	1	1-(1Z-alkenyl),2-acyl-glycerophosphocholines	[M+H]+
C8-pos_Cluster_1291: C34:2 DAG	NA	NA	TRUE	C34:2 DAG	8.857822	615.496328	33	Lineolic acids and derivatives	[M+Na]+
C8-pos_Cluster_1271: C34:2 DAG*	NA	NA	FALSE	C34:2 DAG*	8.857536	610.541065	33	Lineolic acids and derivatives	[M+NH4]+
C8-pos_Cluster_1817: C34:2 PC	NA	NA	TRUE	C34:2 PC	8.33618	758.569056	NA	Phosphatidylcholines	[M+H]+
C8-pos_Cluster_1282: C34:3 DAG	NA	NA	TRUE	C34:3 DAG	8.566257	613.481674	1	Lineolic acids and derivatives	[M+Na]+
C8-pos_Cluster_1262: C34:3 DAG*	NA	NA	FALSE	C34:3 DAG*	8.565138	608.522785	1	Lineolic acids and derivatives	[M+NH4]+
C8-pos_Cluster_1393: C36:0 DAG	NA	NA	TRUE	C36:0 DAG	9.841556	647.558665	NA	1,2-diacylglycerols	[M+Na]+
C8-pos_Cluster_1889: C36:1 PC	NA	NA	TRUE	C36:1 PC	9.080408	788.615447	NA	Phosphatidylcholines	[M+H]+
C8-pos_Cluster_1377: C36:2 DAG	NA	NA	TRUE	C36:2 DAG	9.289662	643.529436	NA	NA	[M+Na]+
C8-pos_Cluster_1364: C36:2 DAG*	NA	NA	FALSE	C36:2 DAG*	9.289324	638.572444	33	NA	[M+NH4]+
C8-pos_Cluster_1886: C36:2 PC	NA	NA	TRUE	C36:2 PC	8.799074	786.599895	NA	NA	[M+H]+
C8-pos_Cluster_1856: C36:2 PC plasmalogen	NA	NA	TRUE	C36:2 PC plasmalogen	9.078802	772.622539	2	1-(1Z-alkenyl),2-acyl-glycerophosphocholines	[M+H]+
HILIC-pos_Cluster_2372: C36:2 PC*	NA	NA	FALSE	C36:2 PC*	6.491711	786.59628	NA	NA	[M+H]+
C8-pos_Cluster_1373: C36:3 DAG	NA	NA	TRUE	C36:3 DAG	8.991042	641.512618	NA	Lineolic acids and derivatives	[M+Na]+
C8-pos_Cluster_1358: C36:3 DAG*	NA	NA	FALSE	C36:3 DAG*	8.989347	636.558642	33	Lineolic acids and derivatives	[M+NH4]+
C8-pos_Cluster_1879: C36:3 PC	NA	NA	TRUE	C36:3 PC	8.497757	784.586819	NA	Phosphatidylcholines	[M+H]+
C8-pos_Cluster_1367: C36:4 DAG	NA	NA	TRUE	C36:4 DAG	8.686175	639.497236	33	Lineolic acids and derivatives	[M+Na]+
C8-pos_Cluster_1351: C36:4 DAG*	NA	NA	FALSE	C36:4 DAG*	8.686777	634.541003	33	Lineolic acids and derivatives	[M+NH4]+
C8-pos_Cluster_1873: C36:4 PC-A	NA	NA	TRUE	C36:4 PC-A	8.140944	782.570672	NA	Phosphatidylcholines	[M+H]+
C8-pos_Cluster_1874: C36:4 PC-B	NA	NA	TRUE	C36:4 PC-B	8.357279	782.568897	NA	Phosphatidylcholines	[M+H]+
C8-pos_Cluster_1833: C36:5 PC plasmalogen-A	NA	NA	TRUE	C36:5 PC plasmalogen-A	8.250746	766.57843	1	1-(1Z-alkenyl),2-acyl-glycerophosphocholines	[M+H]+
C8-pos_Cluster_1835: C36:5 PC plasmalogen-B	NA	NA	TRUE	C36:5 PC plasmalogen-B	8.644664	766.572988	NA	1-(1Z-alkenyl),2-acyl-glycerophosphocholines	[M+H]+
C8-pos_Cluster_1473: C38:5 DAG*	NA	NA	FALSE	C38:5 DAG*	8.943306	665.512314	NA	1,2-diacylglycerols	[M+Na]+
HILIC-pos_Cluster_0625: C4 carnitine	NA	NA	TRUE	C4 carnitine	7.889518	232.153366	1	NA	[M+H]+
C8-pos_Cluster_1799: C42:0 TAG	NA	NA	TRUE	C42:0 TAG	10.826807	745.631439	NA	NA	[M+Na]+
C8-pos_Cluster_1791: C42:0 TAG	NA	NA	TRUE	C42:0 TAG	10.82465	740.678078	NA	NA	[M+NH4]+
C8-pos_Cluster_1861: C44:0 TAG	NA	NA	TRUE	C44:0 TAG	11.187668	773.661475	NA	Triacylglycerols	[M+Na]+
C8-pos_Cluster_1848: C44:0 TAG*	NA	NA	FALSE	C44:0 TAG*	11.184397	768.708936	NA	Triacylglycerols	[M+NH4]+
C8-pos_Cluster_1854: C44:1 TAG	NA	NA	TRUE	C44:1 TAG	10.928481	771.647572	NA	NA	[M+Na]+
C8-pos_Cluster_1837: C44:1 TAG	NA	NA	TRUE	C44:1 TAG	10.923041	766.692069	1	NA	[M+NH4]+
C8-pos_Cluster_1932: C46:0 TAG	NA	NA	TRUE	C46:0 TAG	11.526179	801.69486	NA	Triacylglycerols	[M+Na]+
C8-pos_Cluster_1912: C46:0 TAG*	NA	NA	FALSE	C46:0 TAG*	11.529201	796.739627	NA	Triacylglycerols	[M+NH4]+
C8-pos_Cluster_1922: C46:1 TAG	NA	NA	TRUE	C46:1 TAG	11.275558	799.678727	NA	NA	[M+Na]+
C8-pos_Cluster_1907: C46:1 TAG*	NA	NA	FALSE	C46:1 TAG*	11.276498	794.722711	NA	NA	[M+NH4]+
C8-pos_Cluster_1915: C46:2 TAG	NA	NA	TRUE	C46:2 TAG	11.024304	797.661789	NA	Triacylglycerols	[M+Na]+
C8-pos_Cluster_1902: C46:2 TAG*	NA	NA	FALSE	C46:2 TAG*	11.023945	792.70552	NA	Triacylglycerols	[M+NH4]+
